"","ID","gene_name","gene_desc","best_db","sporprot"
"283","COG3403","ycgG","Uncharacterized conserved protein YcgG, contains conserved FPC and CPF motifs","COG","sporulation_prot"
"284","COG3665","ycgI","Uncharacterized conserved protein YcgI, DUF1989 family","COG","sporulation_prot"
"285","COG3541","ycgL","Predicted nucleotidyltransferase YcgL","COG","sporulation_prot"
"286","COG1714","yckC","Uncharacterized membrane protein YckC, RDD family","COG","sporulation_prot"
"287","COG1649","yddW","Uncharacterized lipoprotein YddW, UPF0748 family","COG","sporulation_prot"
"288","COG2707","yeaL","Uncharacterized membrane protein, DUF441 family","COG","sporulation_prot"
"289","COG5444","yeeF","Predicted ribonuclease, toxin component of the YeeF-YezG toxin-antitoxin module","COG","sporulation_prot"
"290","COG2304","yfbK","Secreted protein containing bacterial Ig-like domain and vWFA domain","COG","sporulation_prot"
"291","COG1725","yhcF","DNA-binding transcriptional regulator YhcF, GntR family","COG","sporulation_prot"
"292","COG1561","yicC","Uncharacterized stationary-phase protein YicC, UPF0701 family","COG","sporulation_prot"
"293","COG0706","yidC","Membrane protein insertase Oxa1/YidC/SpoIIIJ","COG","sporulation_prot"
"294","COG1284","yitT","Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains","COG","sporulation_prot"
"295","COG5504","yjaZ","Predicted Zn-dependent protease YjaZ, DUF2268 family","COG","sporulation_prot"
"296","COG3162","yjcH","Uncharacterized membrane protein, DUF485 family","COG","sporulation_prot"
"297","COG4195","yjqB","Phage-related replication protein YjqB, UPF0714/DUF867 family","COG","sporulation_prot"
"298","COG1273","ykoV","Non-homologous end joining protein Ku, dsDNA break repair","COG","sporulation_prot"
"299","COG3949","ykvI","Uncharacterized membrane protein YkvI","COG","sporulation_prot"
"300","COG1875","ylaK","Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains","COG","sporulation_prot"
"301","COG3879","ylxW","Uncharacterized conserved protein YlxW, UPF0749 family","COG","sporulation_prot"
"302","COG2368","yoaI","Aromatic ring hydroxylase","COG","sporulation_prot"
"303","COG2720","yoaR","Vancomycin resistance protein YoaR (function unknown), contains peptidoglycan-binding and VanW domains","COG","sporulation_prot"
"304","COG1231","yobN","Monoamine oxidase","COG","sporulation_prot"
"305","COG4479","yozE","Uncharacterized conserved protein YozE, UPF0346 family","COG","sporulation_prot"
"306","COG1755","ypbQ","Uncharacterized conserved protein YpbQ, isoprenylcysteine carboxyl methyltransferase (ICMT) family","COG","sporulation_prot"
"307","COG1023","yqeC","6-phosphogluconate dehydrogenase (decarboxylating)","COG","sporulation_prot"
"308","COG3872","yqhQ","Uncharacterized conserved protein YqhQ, DUF1385 family","COG","sporulation_prot"
"309","COG2268","yqiK","Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain","COG","sporulation_prot"
"310","COG3881","yrrD","Uncharacterized conserved protein YrrD, contains PRC-barrel domain","COG","sporulation_prot"
"311","COG2738","yugP","Zn-dependent membrane protease YugP","COG","sporulation_prot"
"312","COG3377","yunC","Uncharacterized conserved protein YunC, DUF1805 family","COG","sporulation_prot"
"313","COG0599","yurZ","Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family","COG","sporulation_prot"
"314","COG2155","yuzA","Uncharacterized membrane protein YuzA, DUF378 family","COG","sporulation_prot"
"315","COG5522","ywaF","Uncharacterized membrane protein YwaF","COG","sporulation_prot"
"316","COG2849","ywqK","Antitoxin component YwqK of the YwqJK toxin-antitoxin module","COG","sporulation_prot"
"317","COG1331","yyaL","Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains","COG","sporulation_prot"
"318","COG3863","yycO","Uncharacterized conserved protein YycO, NlpC/P60 family","COG","sporulation_prot"
"1314","A0A2K4Z9G8","cmpA","Cortex morphogenetic protein A","DRAM","sporulation_prot"
"2101","A0AAT9J3Y0","rodZ","Cell shape determination factor","DRAM","sporulation_prot"
"3101","A0AAT9J413","figP","Spore germination membrane protein","DRAM","sporulation_prot"
"4101","A0PZS6","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"5101","A0RAQ6","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"6101","A0RH02","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"7101","A0RHX9","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"8101","A0RI78","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"9101","A0RKS4","gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","DRAM","sporulation_prot"
"10101","A3DEN2","sspH","Small, acid-soluble spore protein H (SASP H)","DRAM","sporulation_prot"
"11101","A4FB46","ssgB","Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","DRAM","sporulation_prot"
"12101","A4IKI9","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"1315","A4IKT9","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"1413","A4IMM1","sspP","Small, acid-soluble spore protein P (SASP P)","DRAM","sporulation_prot"
"1513","A4IMM3","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"1612","A4IN31","sspH1","Small, acid-soluble spore protein H 1 (SASP H 1)","DRAM","sporulation_prot"
"1712","A4IN74","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"1812","A4IN75","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"1912","A4IPX4","sspH2","Small, acid-soluble spore protein H 2 (SASP H 2)","DRAM","sporulation_prot"
"2012","A4IQI5","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"2112","A4ISB5","sspH3","Small, acid-soluble spore protein H 3 (SASP H 3)","DRAM","sporulation_prot"
"2212","A4X5B6","ssgB","Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","DRAM","sporulation_prot"
"2312","A5HZY2","sspH1","Small, acid-soluble spore protein H 1 (SASP H 1)","DRAM","sporulation_prot"
"2412","A5I174","sspH2","Small, acid-soluble spore protein H 2 (SASP H 2)","DRAM","sporulation_prot"
"2512","A5N217","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"2612","A6LRL7","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"2712","A6M0F0","sspH","Small, acid-soluble spore protein H (SASP H)","DRAM","sporulation_prot"
"2812","A6QGC0","prkC","Serine/threonine-protein kinase PrkC (Ser/Thr-protein kinase PrkC) (EC 2.7.11.1)","DRAM","sporulation_prot"
"2912","A6TQ57","sspH","Small, acid-soluble spore protein H (SASP H)","DRAM","sporulation_prot"
"3012","A6WCJ4","ssgB","Sporulation-specific cell division protein SsgB (Sporulation of Streptomyces griseus-like protein B) (SsgA-like protein B) (SALP B)","DRAM","sporulation_prot"
"3110","A7FS46","sspH1","Small, acid-soluble spore protein H 1 (SASP H 1)","DRAM","sporulation_prot"
"3210","A7FTB7","sspH2","Small, acid-soluble spore protein H 2 (SASP H 2)","DRAM","sporulation_prot"
"3310","A7GBI7","sspH1","Small, acid-soluble spore protein H 1 (SASP H 1)","DRAM","sporulation_prot"
"3410","A7GCS6","sspH2","Small, acid-soluble spore protein H 2 (SASP H 2)","DRAM","sporulation_prot"
"3510","A7GJW0","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"3610","A7GKY7","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"3710","A7GL73","sspH1","Small, acid-soluble spore protein H 1 (SASP H 1)","DRAM","sporulation_prot"
"3810","A7GLZ1","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"3910","A7GNL0","sspH2","Small, acid-soluble spore protein H 2 (SASP H 2)","DRAM","sporulation_prot"
"4010","A7GQU9","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"4110","A7GQV6","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"4210","A7GQV9","sspP","Small, acid-soluble spore protein P (SASP P)","DRAM","sporulation_prot"
"4310","A7GRZ1","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"4410","A7GS97","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"4510","A7GTL2","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"4610","A7GUR8","gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","DRAM","sporulation_prot"
"4710","A7Z0H2","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"4810","A7Z2J3","sspH","Small, acid-soluble spore protein H (SASP H)","DRAM","sporulation_prot"
"4910","A7Z2M2","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"5010","A7Z311","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"5110","A7Z565","sspP","Small, acid-soluble spore protein P (SASP P)","DRAM","sporulation_prot"
"5210","A7Z566","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"5310","A7Z570","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"5410","A7Z571","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"5510","A7Z692","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"5610","A7Z7F5","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"5710","A7Z8Y2","gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","DRAM","sporulation_prot"
"5810","A8F916","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"5910","A8FB65","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"6010","A8FBL1","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"6110","A8FDQ8","sspP","Small, acid-soluble spore protein P (SASP P)","DRAM","sporulation_prot"
"6210","A8FDQ9","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"6310","A8FDR3","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"6410","A8FDR4","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"6510","A8FET0","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"6610","A8FGT0","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"6710","A8FHJ1","gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","DRAM","sporulation_prot"
"6810","A9VFH8","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"6910","A9VI69","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"7010","A9VJM6","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"7110","A9VN61","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"7210","A9VNW3","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"7310","A9VSR6","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"7410","A9VUC4","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"7510","B0K150","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"7610","B0K9G3","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"7710","B1HVK6","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"7810","B1YK88","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"7910","B2TLY1","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"8010","B2V2G9","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"8110","B7GI77","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"8210","B7GKG6","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"8310","B7GKT2","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"8410","B7H546","racA","Chromosome-anchoring protein RacA","DRAM","sporulation_prot"
"8510","B7H6V0","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"8610","B7H965","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"8710","B7H9R2","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"8810","B7HAY0","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"8910","B7HAY1","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"9010","B7HC95","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"9110","B7HG19","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"9210","B7HIL6","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"9310","B7HME8","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"9410","B7HN53","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"9510","B7HPV9","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"9610","B7HQ80","racA","Chromosome-anchoring protein RacA","DRAM","sporulation_prot"
"9710","B7HRK4","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"9810","B7HU54","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"9910","B7HZH8","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"10010","B7I056","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"10110","B7I057","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"10210","B7I063","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"10310","B7IJW2","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"10410","B7IKC1","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"10510","B7IRQ5","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"10610","B7ISF6","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"10710","B7ISV8","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"10810","B7IVK0","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"10910","B7IW10","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"11010","B7IWI6","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"11110","B7JCX5","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"11210","B7JI37","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"11310","B7JI38","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"11410","B7JI46","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"11510","B7JK55","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"11610","B7JKT7","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"11710","B7JLS6","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"11810","B7JML4","racA","Chromosome-anchoring protein RacA","DRAM","sporulation_prot"
"11910","B7JNF2","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"12010","B7JR69","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"12110","B9E5R9","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"12210","B9IT66","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"12310","B9IUC0","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"12410","B9IUC1","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"12510","B9IUC7","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"12610","B9IW43","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"12710","B9IWT7","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"12810","B9IZT9","racA","Chromosome-anchoring protein RacA","DRAM","sporulation_prot"
"12910","B9J065","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"13010","B9J2V0","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"1316","C0H3P8","ytrH","Sporulation membrane protein YtrH","DRAM","sporulation_prot"
"1322","C0H3Q2","ytzL","Uncharacterized protein YtzL","DRAM","sporulation_prot"
"1332","C0H3Q4","yuzI","Uncharacterized membrane protein YuzI","DRAM","sporulation_prot"
"1342","C0H3R0","yuzL","Uncharacterized protein YuzL","DRAM","sporulation_prot"
"1352","C0H3R1","yuzM","Uncharacterized protein YuzM","DRAM","sporulation_prot"
"1362","C0H3W2","ydzR","Spore germination protein-like protein YdzR","DRAM","sporulation_prot"
"1372","C0H3X3","yezF","Uncharacterized membrane protein YezF","DRAM","sporulation_prot"
"1382","C0H3X8","ygzC","Spore coat protein F-like protein YgzC","DRAM","sporulation_prot"
"1392","C0H3Y2","sscA","Small spore coat assembly protein A","DRAM","sporulation_prot"
"1402","C0H3Y3","yhzF","Uncharacterized membrane protein YhzF","DRAM","sporulation_prot"
"1414","C0H3Y5","yizC","Uncharacterized protein YizC","DRAM","sporulation_prot"
"1422","C0H3Y6","yizD","Uncharacterized membrane protein YizD","DRAM","sporulation_prot"
"1432","C0H3Y7","yjzK","Uncharacterized protein YjzK","DRAM","sporulation_prot"
"1442","C0H3Y8","yjcZ","Sporulation protein YjcZ","DRAM","sporulation_prot"
"1452","C0H402","ykzP","Uncharacterized protein YkzP","DRAM","sporulation_prot"
"1462","C0H404","ykzR","Probably inactive glycosylase YkzR","DRAM","sporulation_prot"
"1472","C0H409","ykzV","Uncharacterized membrane protein YkzV","DRAM","sporulation_prot"
"1482","C0H413","ylzJ","Uncharacterized protein YlzJ","DRAM","sporulation_prot"
"1492","C0H418","ynzL","Uncharacterized protein YnzL","DRAM","sporulation_prot"
"1502","C0H419","yngHB","Biotin/lipoyl attachment protein (BLAP)","DRAM","sporulation_prot"
"1514","C0H421","yozT","Uncharacterized protein YozT","DRAM","sporulation_prot"
"1522","C0H429","yoyB","Uncharacterized protein YoyB","DRAM","sporulation_prot"
"1532","C0H432","yoyE","Uncharacterized protein YoyE","DRAM","sporulation_prot"
"1542","C0H433","yoyF","Uncharacterized membrane protein YoyF","DRAM","sporulation_prot"
"1552","C0H434","yokU","Uncharacterized protein YokU","DRAM","sporulation_prot"
"1562","C0H435","yoyG","Uncharacterized membrane protein YoyG","DRAM","sporulation_prot"
"1571","C0H443","ypzF","Uncharacterized protein YpzF","DRAM","sporulation_prot"
"1581","C0H444","ypzG","Uncharacterized protein YpzG","DRAM","sporulation_prot"
"1591","C0H445","ypzH","Uncharacterized protein YpzH","DRAM","sporulation_prot"
"1601","C0H446","ypzI","Uncharacterized protein YpzI","DRAM","sporulation_prot"
"1613","C0H450","spoVAEB","Stage V sporulation protein AEB","DRAM","sporulation_prot"
"1621","C0H455","yqzO","Uncharacterized protein YqzO","DRAM","sporulation_prot"
"1631","C0H461","yrzQ","Uncharacterized protein YrzQ","DRAM","sporulation_prot"
"1641","C0H462","yrzR","Uncharacterized protein YrzR","DRAM","sporulation_prot"
"1651","C0SP79","ytaF","Probable sporulation protein YtaF","DRAM","sporulation_prot"
"1661","C0SP84","ytlA","Putative binding protein YtlA","DRAM","sporulation_prot"
"1671","C0SP90","ythA","Putative cytochrome bd menaquinol oxidase subunit I (EC 1.10.3.-)","DRAM","sporulation_prot"
"1681","C0SPA3","ylxW","UPF0749 protein YlxW","DRAM","sporulation_prot"
"1691","C0SPB9","ykoN","Uncharacterized glycosyltransferase YkoN (EC 2.4.-.-)","DRAM","sporulation_prot"
"1701","C0SPC0","yoaI","Probable 4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.14.9) (4-hydroxyphenylacetate 3-hydroxylase) (4-HPA 3-hydroxylase)","DRAM","sporulation_prot"
"1713","C1EKG1","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"1721","C1EN48","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"1731","C1EN49","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"1741","C1EN57","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"1751","C1EPX7","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"1761","C1EQU8","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"1771","C1ESX8","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"1781","C1ETF1","racA","Chromosome-anchoring protein RacA","DRAM","sporulation_prot"
"1791","C1EU02","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"1801","C1EWF4","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"1813","C3L8U0","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"1821","C3L9B6","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"1831","C3L9C4","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"1841","C3L9C5","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"1851","C3LCW8","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"1861","C3LHB3","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"1871","C3LI29","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"1881","C3LIU0","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"1891","C3LJ21","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"1901","C3LJH8","racA","Chromosome-anchoring protein RacA","DRAM","sporulation_prot"
"1913","C3P2U9","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"1921","C3P449","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"1931","C3P450","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"1941","C3P458","sspO","Small, acid-soluble spore protein O (SASP O)","DRAM","sporulation_prot"
"1951","C3P6X0","tgl","Protein-glutamine gamma-glutamyltransferase (EC 2.3.2.13) (Transglutaminase) (TGase)","DRAM","sporulation_prot"
"1961","C3P7L0","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"1971","C3P8Z9","racA","Chromosome-anchoring protein RacA","DRAM","sporulation_prot"
"1981","C3P9J4","spoVG","Putative septation protein SpoVG (Stage V sporulation protein G)","DRAM","sporulation_prot"
"1991","C3PAF1","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"2001","C3PCY0","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"2013","C5D2I1","tlp","Small, acid-soluble spore protein Tlp","DRAM","sporulation_prot"
"2021","C5D2I2","sspN","Small, acid-soluble spore protein N (SASP N)","DRAM","sporulation_prot"
"2031","C5D403","spoIIAB","Anti-sigma F factor (EC 2.7.11.1) (Stage II sporulation protein AB)","DRAM","sporulation_prot"
"2041","C5D5S3","sspK","Small, acid-soluble spore protein K (SASP K)","DRAM","sporulation_prot"
"2051","C5D630","sspI","Small, acid-soluble spore protein I (SASP I)","DRAM","sporulation_prot"
"2061","C5D6L6","hpr","HTH-type transcriptional regulator Hpr (Protease production regulatory protein Hpr)","DRAM","sporulation_prot"
"2071","C5D9Z3","sspP","Small, acid-soluble spore protein P (SASP P)","DRAM","sporulation_prot"
"2081","C9RZ55","splG","Spore photoproduct lyase (EC 4.1.99.14)","DRAM","sporulation_prot"
"2091","D5DNA8","gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","DRAM","sporulation_prot"
"2102","D5DQW6","spoIIGA","Sporulation sigma-E factor-processing peptidase (EC 3.4.23.-) (Membrane-associated aspartic protease) (Stage II sporulation protein GA)","DRAM","sporulation_prot"
"2113","D5DVF4","gpmI","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)","DRAM","sporulation_prot"
"2121","D5TM67","cdaS","Diadenylate cyclase CdaS (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase)","DRAM","sporulation_prot"
"2131","L8EBJ6","sscB","Probable small spore coat assembly protein B (ORF-62)","DRAM","sporulation_prot"
"2141","L8EBJ9","mciZ","Cell division inhibitor MciZ (FtsZ assembly inhibitor) (Mother cell inhibitor of FtsZ)","DRAM","sporulation_prot"
