"","COGlet","ID","gene_name","gene_desc","gene_cat","COG.broad","Cog.cat","Nog.abbrev","Nog.new","source","DetailedCat"
"26373","Ph","phrog_23547","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26374","Ph","phrog_23548","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26375","Ph","phrog_23549","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26376","Ph","phrog_23550","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26377","Ph","phrog_23551","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26378","Ph","phrog_23552","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26379","Ph","phrog_23553","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26380","Ph","phrog_23554","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26381","Ph","phrog_23555","head maturation protease","head maturation protease","head and packaging","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","head and packaging"
"26382","Ph","phrog_23556","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26383","Ph","phrog_23557","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26384","Ph","phrog_23558","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26385","Ph","phrog_23559","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26386","Ph","phrog_23560","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26387","Ph","phrog_23561","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26388","Ph","phrog_23562","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26389","Ph","phrog_23563","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26390","Ph","phrog_23564","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26391","Ph","phrog_23565","ribonucleotide reductase","ribonucleotide reductase","DNA, RNA and nucleotide metabolism","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","DNA, RNA and nucleotide metabolism"
"26392","Ph","phrog_23566","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26393","Ph","phrog_23567","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26394","Ph","phrog_23568","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26395","Ph","phrog_23569","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26396","Ph","phrog_23570","virion structural protein","virion structural protein","head and packaging","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","head and packaging"
"26397","Ph","phrog_23571","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26398","Ph","phrog_23572","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26399","Ph","phrog_23573","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26400","Ph","phrog_23574","tail length tape measure protein","tail length tape measure protein","tail","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","tail"
"26401","Ph","phrog_23575","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26402","Ph","phrog_23576","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26403","Ph","phrog_23577","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26404","Ph","phrog_23578","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26405","Ph","phrog_23579","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26406","Ph","phrog_23580","thymidylate synthase","thymidylate synthase","DNA, RNA and nucleotide metabolism","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","DNA, RNA and nucleotide metabolism"
"26407","Ph","phrog_23581","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26408","Ph","phrog_23582","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26409","Ph","phrog_23583","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26410","Ph","phrog_23584","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26411","Ph","phrog_23585","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26412","Ph","phrog_23586","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26413","Ph","phrog_23587","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26414","Ph","phrog_23588","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26415","Ph","phrog_23589","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26416","Ph","phrog_23590","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26417","Ph","phrog_23591","membrane protein","membrane protein","moron, auxiliary metabolic gene and host takeover","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","moron, auxiliary metabolic gene and host takeover"
"26418","Ph","phrog_23592","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26419","Ph","phrog_23593","tail protein","tail protein","tail","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","tail"
"26420","Ph","phrog_23594","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26421","Ph","phrog_23595","minor tail protein","minor tail protein","tail","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","tail"
"26422","Ph","phrog_23596","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26423","Ph","phrog_23597","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26424","Ph","phrog_23598","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26425","Ph","phrog_23599","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26426","Ph","phrog_23600","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26427","Ph","phrog_23601","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26428","Ph","phrog_23602","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26429","Ph","phrog_23603","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26430","Ph","phrog_23604","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26431","Ph","phrog_23605","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26432","Ph","phrog_23606","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26433","Ph","phrog_23607","tail assembly chaperone","tail assembly chaperone","tail","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","tail"
"26434","Ph","phrog_23608","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26435","Ph","phrog_23609","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26436","Ph","phrog_23610","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26437","Ph","phrog_23611","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26438","Ph","phrog_23612","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26439","Ph","phrog_23613","esterase/lipase","esterase/lipase","other","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","other"
"26440","Ph","phrog_23614","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26441","Ph","phrog_23615","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26442","Ph","phrog_23616","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26443","Ph","phrog_23617","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26444","Ph","phrog_23618","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26445","Ph","phrog_23619","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26446","Ph","phrog_23620","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26447","Ph","phrog_23621","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26448","Ph","phrog_23622","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26449","Ph","phrog_23623","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26450","Ph","phrog_23624","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26451","Ph","phrog_23625","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26452","Ph","phrog_23626","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26453","Ph","phrog_23627","head scaffolding protein","head scaffolding protein","head and packaging","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","head and packaging"
"26454","Ph","phrog_23628","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26455","Ph","phrog_23629","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26456","Ph","phrog_23630","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26457","Ph","phrog_23631","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26458","Ph","phrog_23632","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26459","Ph","phrog_23633","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26460","Ph","phrog_23634","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26461","Ph","phrog_23635","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26462","Ph","phrog_23636","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26463","Ph","phrog_23637","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26464","Ph","phrog_23638","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26465","Ph","phrog_23639","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26466","Ph","phrog_23640","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26467","Ph","phrog_23641","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26468","Ph","phrog_23642","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26469","Ph","phrog_23643","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26470","Ph","phrog_23644","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26471","Ph","phrog_23645","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26472","Ph","phrog_23646","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26473","Ph","phrog_23647","membrane protein","membrane protein","moron, auxiliary metabolic gene and host takeover","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","moron, auxiliary metabolic gene and host takeover"
"26474","Ph","phrog_23648","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26475","Ph","phrog_23649","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26476","Ph","phrog_23650","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26477","Ph","phrog_23651","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26478","Ph","phrog_23652","holin","holin","lysis","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","lysis"
"26479","Ph","phrog_23653","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26480","Ph","phrog_23654","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26481","Ph","phrog_23655","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26482","Ph","phrog_23656","virion structural protein","virion structural protein","head and packaging","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","head and packaging"
"26483","Ph","phrog_23657","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26484","Ph","phrog_23658","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26485","Ph","phrog_23659","tail protein","tail protein","tail","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","tail"
"26486","Ph","phrog_23660","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26487","Ph","phrog_23661","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26488","Ph","phrog_23662","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26489","Ph","phrog_23663","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26490","Ph","phrog_23664","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26491","Ph","phrog_23665","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26492","Ph","phrog_23666","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26493","Ph","phrog_23667","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26494","Ph","phrog_23668","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26495","Ph","phrog_23669","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26496","Ph","phrog_23670","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26497","Ph","phrog_23671","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26498","Ph","phrog_23672","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26499","Ph","phrog_23673","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26500","Ph","phrog_23674","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26501","Ph","phrog_23675","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26502","Ph","phrog_23676","tail fiber protein","tail fiber protein","tail","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","tail"
"26503","Ph","phrog_23677","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26504","Ph","phrog_23678","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26505","Ph","phrog_23679","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26506","Ph","phrog_23680","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26507","Ph","phrog_23681","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26508","Ph","phrog_23682","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26509","Ph","phrog_23683","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26510","Ph","phrog_23684","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26511","Ph","phrog_23685","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26512","Ph","phrog_23686","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26513","Ph","phrog_23687","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26514","Ph","phrog_23688","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26515","Ph","phrog_23689","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26516","Ph","phrog_23690","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26517","Ph","phrog_23691","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26518","Ph","phrog_23692","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26519","Ph","phrog_23693","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26520","Ph","phrog_23694","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26521","Ph","phrog_23695","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26522","Ph","phrog_23696","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26523","Ph","phrog_23697","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26524","Ph","phrog_23698","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26525","Ph","phrog_23699","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26526","Ph","phrog_23700","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26527","Ph","phrog_23701","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26528","Ph","phrog_23702","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26529","Ph","phrog_23703","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26530","Ph","phrog_23704","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26531","Ph","phrog_23705","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26532","Ph","phrog_23706","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26533","Ph","phrog_23707","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26534","Ph","phrog_23708","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26535","Ph","phrog_23709","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26536","Ph","phrog_23710","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26537","Ph","phrog_23711","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26538","Ph","phrog_23712","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26539","Ph","phrog_23713","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26540","Ph","phrog_23714","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26541","Ph","phrog_23715","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26542","Ph","phrog_23716","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26543","Ph","phrog_23717","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26544","Ph","phrog_23718","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26545","Ph","phrog_23719","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26546","Ph","phrog_23720","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26547","Ph","phrog_23721","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26548","Ph","phrog_23722","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26549","Ph","phrog_23723","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26550","Ph","phrog_23724","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26551","Ph","phrog_23725","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26552","Ph","phrog_23726","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26553","Ph","phrog_23727","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26554","Ph","phrog_23728","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26555","Ph","phrog_23729","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26556","Ph","phrog_23730","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26557","Ph","phrog_23731","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26558","Ph","phrog_23732","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26559","Ph","phrog_23733","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26560","Ph","phrog_23734","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26561","Ph","phrog_23735","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26562","Ph","phrog_23736","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26563","Ph","phrog_23737","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26564","Ph","phrog_23738","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26565","Ph","phrog_23739","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26566","Ph","phrog_23740","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26567","Ph","phrog_23741","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26568","Ph","phrog_23742","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26569","Ph","phrog_23743","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26570","Ph","phrog_23744","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26571","Ph","phrog_23745","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26572","Ph","phrog_23746","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26573","Ph","phrog_23747","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26574","Ph","phrog_23748","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26575","Ph","phrog_23749","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26576","Ph","phrog_23750","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26577","Ph","phrog_23751","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26578","Ph","phrog_23752","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26579","Ph","phrog_23753","head maturation protease","head maturation protease","head and packaging","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","head and packaging"
"26580","Ph","phrog_23754","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26581","Ph","phrog_23755","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26582","Ph","phrog_23756","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26583","Ph","phrog_23757","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26584","Ph","phrog_23758","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26585","Ph","phrog_23759","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
"26586","Ph","phrog_23760","no data","no data","unknown function","PHAGE","Phage-associated","Phage-associated","Phage-associated","PHROG","unknown function"
