L1,L2,L3,ID,Function,EC,Gene
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00161,Pyruvate dehydrogenase E1 component alpha subunit,1.2.4.1,"PDHA, pdhA"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00162,Pyruvate dehydrogenase E1 component beta subunit,1.2.4.1,"PDHB, pdhB"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00627,Pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase),2.3.1.12,"DLAT, aceF, pdhC"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00382,Dihydrolipoamide dehydrogenase,1.8.1.4,"DLD, lpd, pdhD"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K13997,Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex,,PDHX
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00169,Pyruvate ferredoxin oxidoreductase alpha subunit,1.2.7.1,porA
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00170,Pyruvate ferredoxin oxidoreductase beta subunit,1.2.7.1,porB
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00172,Pyruvate ferredoxin oxidoreductase gamma subunit,1.2.7.1,"porC, porG"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00189,2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit,1.2.7.7 1.2.7.1,"vorG, porG"
Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis [PATH:ko00010],K00171,Pyruvate ferredoxin oxidoreductase delta subunit,1.2.7.1,porD
