"","gtdb_f","f_spor","ID","GTDB_tax"
"45","Acidaminococcaceae",FALSE,"Ma_2019_SRR341724_NODE_1049_length_9165_cov_21.492536","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"46","Acidaminococcaceae",FALSE,"Zuo_2018_SRR5677829_NODE_5_length_41942_cov_10.071741","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"47","Acidaminococcaceae",FALSE,"uvig_106240","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"48","Acidaminococcaceae",FALSE,"Ma_2019_SRR413772_NODE_5045_length_6893_cov_10.937701","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"49","Acidaminococcaceae",FALSE,"ivig_2707","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini"
"50","Acidaminococcaceae",FALSE,"uvig_145241","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
"51","Acidaminococcaceae",FALSE,"Ma_2019_SRR341590_NODE_3984_length_5090_cov_5.440715","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"52","Acidaminococcaceae",FALSE,"Ma_2019_SRR413613_NODE_4564_length_5091_cov_16.282566","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"53","Acidaminococcaceae",FALSE,"Kang_0047_ST001_N_NODE_7_length_54758_cov_615.710217","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"54","Acidaminococcaceae",FALSE,"SRR7892473_NODE_86_length_5102_cov_1025.808005","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"55","Acidaminococcaceae",FALSE,"Ma_2019_SRR413735_NODE_1100_length_30972_cov_4.844843","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"56","Acidaminococcaceae",FALSE,"Ma_2019_SRR341635_NODE_87_length_58164_cov_3.223253","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"57","Acidaminococcaceae",FALSE,"Han_2018_ERR1398254_NODE_7115_length_5067_cov_9.560854","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"58","Acidaminococcaceae",FALSE,"uvig_356626","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus intestini,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis"
"59","Acidaminococcaceae",FALSE,"Shkoporov_2018_SRR6128026_NODE_90_length_8156_cov_4.910258","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"60","Acidaminococcaceae",FALSE,"Han_2018_ERR1398126_NODE_5396_length_5049_cov_8.108730","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"61","Acidaminococcaceae",FALSE,"Ma_2019_SRR413719_NODE_2278_length_6525_cov_25.783308","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"62","Acidaminococcaceae",FALSE,"Zuo_2018_SRR5677834_NODE_765_length_6123_cov_24.998682","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"63","Acidaminococcaceae",FALSE,"ivig_3262","Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/NA,Firmicutes/Negativicutes/Acidaminococcales/Acidaminococcaceae/Acidaminococcus/Acidaminococcus massiliensis"
"64","Acidaminococcaceae",FALSE,"Ma_2019_SRR413607_NODE_1294_length_16849_cov_2.319638","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
"65","Acidaminococcaceae",FALSE,"Ma_2019_SRR341664_NODE_3380_length_5240_cov_1.569527","Bacteria;p__Firmicutes_C;f__Acidaminococcaceae"
