"","COG","Cat","gene_name","gene_desc"
"188","COG2140","G","oxdD","Oxalate decarboxylase/archaeal phosphoglucose isomerase, cupin superfamily"
"189","COG0183","I","paaJ","Acetyl-CoA acetyltransferase"
"190","COG2808","T","paiB","Predicted FMN-binding regulatory protein PaiB"
"191","COG1192","DN","parA","ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ"
"192","COG2815","M","pASTA","PASTA domain, binds beta-lactams"
"193","COG1164","E","pepF","Oligoendopeptidase F"
"194","COG0628","R","perM","Predicted PurR-regulated permease PerM"
"195","COG1267","I","pgpA","Phosphatidylglycerophosphatase A"
"196","COG3409","M","pGRP","Peptidoglycan-binding (PGRP) domain of peptidoglycan hydrolases"
"197","COG5434","G","pgu1","Polygalacturonase"
"198","COG0454","KR","phnO","N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)"
"199","COG1785","PR","phoA","Alkaline phosphatase"
"200","COG2267","I","pldB","Lysophospholipase, alpha-beta hydrolase superfamily"
"201","COG1335","HR","pncA","Nicotinamidase-related amidase"
"202","COG0531","E","potE","Serine transporter YbeC, amino acid:H+ symporter family"
"203","COG2766","T","prkA","Predicted Ser/Thr protein kinase"
"204","COG0345","E","proC","Pyrroline-5-carboxylate reductase"
"205","COG0477","GEPR","proP","MFS family permease, includes anhydromuropeptide permease AmpG"
"206","COG2513","G","prpB","2-Methylisocitrate lyase and related enzymes, PEP mutase family"
"207","COG2079","G","prpD","2-methylcitrate dehydratase PrpD"
"208","COG0631","T","pTC1","Serine/threonine protein phosphatase PrpC"
"209","COG2508","K","pucR","DNA-binding transcriptional regulator, PucR/PutR family"
"210","COG1989","NU","pulO","Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase"
"211","COG1609","K","purR","DNA-binding transcriptional regulator, LacI/PurR family"
"212","COG0506","E","putA","Proline dehydrogenase"
"213","COG2049","E","pxpB","5-oxoprolinase subunit B/Allophanate hydrolase subunit 1"
"214","COG1984","E","pxpC","5-oxoprolinase subunit C/Allophanate hydrolase subunit 2"
"215","COG0723","C","qcrA/PetC","Rieske Fe-S protein"
"216","COG1794","M","racX","Amino acid racemase YgeA"
"217","COG0438","M","rfaB","Glycosyltransferase involved in cell wall bisynthesis"
"218","COG1442","M","rfaJ","Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase"
"219","COG1088","M","rfbB","dTDP-D-glucose 4,6-dehydratase"
"220","COG1898","M","rfbC","dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme"
"221","COG1091","M","rfbD","dTDP-4-dehydrorhamnose reductase"
"222","COG2244","M","rfbX","Membrane protein involved in the export of O-antigen and teichoic acid"
"223","COG0697","GER","rhaT","Permease of the drug/metabolite transporter (DMT) superfamily"
"224","COG3209","R","rhsA","Uncharacterized conserved protein RhaS, contains 28 RHS repeats"
"225","COG1280","E","rhtB","Threonine/homoserine/homoserine lactone efflux protein"
"226","COG0456","J","rimI","Ribosomal protein S18 acetylase RimI and related acetyltransferases"
"227","COG0564","J","rluA","Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific"
"228","COG1209","M","rmlA1","dTDP-glucose pyrophosphorylase"
"229","COG0328","L","rnhA","Ribonuclease HI"
"230","COG1426","D","rodZ","Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains"
"231","COG1595","K","rpoE","DNA-directed RNA polymerase specialized sigma subunit, sigma24 family"
"232","COG2208","TK","rsbU","Phosphoserine phosphatase RsbU, regulator of sigma subunit"
"233","COG2172","T","rsbW","Anti-sigma regulatory factor (Ser/Thr protein kinase)"
"234","COG0750","OK","rseP","Membrane-associated protease RseP, regulator of RpoE activity"
"235","COG5662","K","rsiW","Transmembrane transcriptional regulator RsiW (anti-sigma-W factor)"
"236","COG4948","MR","rspA","L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily"
"237","COG1752","R","rssA","Predicted acylesterase/phospholipase RssA, containd patatin domain"
"238","COG4570","L","rusA","Holliday junction resolvase RusA (prophage-encoded endonuclease)"
"239","COG3856","S","sbp","Small basic protein Sbp (function unknown), DUF1290 domain"
"240","COG0814","E","sdaC","Amino acid permease"
"241","COG0691","O","smpB","tmRNA-binding protein"
"242","COG0605","P","sodA","Superoxide dismutase"
"243","COG0789","K","soxR","DNA-binding transcriptional regulator, MerR family"
"244","COG1533","L","splB","DNA repair photolyase"
"245","COG1475","D","spo0J","Chromosome segregation protein Spo0J, contains ParB-like nuclease domain"
"246","COG1366","T","spoIIAA","Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)"
"247","COG1961","L","spoIVCA","Site-specific DNA recombinase SpoIVCA/DNA invertase PinE"
"248","COG2088","D","spoVG","DNA-binding protein SpoVG, cell septation regulator"
"249","COG0464","MDT","spoVK","AAA+-type ATPase, SpoVK/Ycf46/Vps4 family"
"250","COG0515","T","sPS1","Serine/threonine protein kinase"
"251","COG2089","M","spsE","Sialic acid synthase SpsE, contains C-terminal SAF domain"
"252","COG1657","I","sqhC","Terpene cyclase SqhC"
"253","COG2135","L","sRAP","ssDNA abasic site-binding protein YedK/HMCES, SRAP family"
"254","COG2334","T","srkA","Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist"
"255","COG1887","MI","tagB","CDP-glycerol glycerophosphotransferase, TagB/SpsB family"
"256","COG0715","P","tauA","ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component"
"257","COG1116","P","tauB","ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component"
"258","COG0600","P","tauC","ABC-type nitrate/sulfonate/bicarbonate transport system, permease component"
"259","COG0730","P","tauE","Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family"
"260","COG1063","ER","tdh","Threonine dehydrogenase or related Zn-dependent dehydrogenase"
"261","COG0861","P","terC","Tellurite resistance membrane protein TerC"
"262","COG1253","R","tlyC","Hemolysin-related protein, contains CBS domains, UPF0053 family"
"263","COG0457","R","tPR","Tetratricopeptide (TPR) repeat"
"264","COG0526","O","trxA","Thiol-disulfide isomerase or thioredoxin"
"265","COG2226","H","ubiE","Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG"
"266","COG1004","M","ugd","UDP-glucose 6-dehydrogenase"
"267","COG2271","G","uhpC","Sugar phosphate permease"
"268","COG4294","L","uve","UV DNA damage repair endonuclease"
"269","COG2721","G","uxaA","Altronate dehydratase"
"270","COG1312","G","uxuA","D-mannonate dehydratase"
"271","COG5002","T","walK","Sensor histidine kinase WalK"
"272","COG0463","M","wcaA","Glycosyltransferase involved in cell wall bisynthesis"
"273","COG1216","G","wcaE","Glycosyltransferase, GT2 family"
"274","COG0451","M","wcaG","Nucleoside-diphosphate-sugar epimerase"
"275","COG0399","M","wecE","dTDP-4-amino-4,6-dideoxygalactose transaminase"
"276","COG0708","L","xthA","Exonuclease III"
"277","COG4467","L","yabA","Regulator of replication initiation timing YabA"
"278","COG1408","R","yaeI","Predicted phosphohydrolase, MPP superfamily"
"279","COG0693","V","yajL","Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)"
"280","COG3876","S","ybbC","Uncharacterized conserved protein YbbC, DUF1343 family"
"281","COG2323","S","ycaP","Uncharacterized membrane protein YcaP, DUF421 family"
"282","COG1289","S","yccC","Uncharacterized membrane protein YccC"
"283","COG3403","S","ycgG","Uncharacterized conserved protein YcgG, contains conserved FPC and CPF motifs"
"284","COG3665","S","ycgI","Uncharacterized conserved protein YcgI, DUF1989 family"
"285","COG3541","R","ycgL","Predicted nucleotidyltransferase YcgL"
"286","COG1714","S","yckC","Uncharacterized membrane protein YckC, RDD family"
"287","COG1649","S","yddW","Uncharacterized lipoprotein YddW, UPF0748 family"
"288","COG2707","S","yeaL","Uncharacterized membrane protein, DUF441 family"
"289","COG5444","V","yeeF","Predicted ribonuclease, toxin component of the YeeF-YezG toxin-antitoxin module"
"290","COG2304","R","yfbK","Secreted protein containing bacterial Ig-like domain and vWFA domain"
"291","COG1725","K","yhcF","DNA-binding transcriptional regulator YhcF, GntR family"
"292","COG1561","S","yicC","Uncharacterized stationary-phase protein YicC, UPF0701 family"
"293","COG0706","M","yidC","Membrane protein insertase Oxa1/YidC/SpoIIIJ"
"294","COG1284","S","yitT","Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains"
"295","COG5504","R","yjaZ","Predicted Zn-dependent protease YjaZ, DUF2268 family"
"296","COG3162","S","yjcH","Uncharacterized membrane protein, DUF485 family"
"297","COG4195","X","yjqB","Phage-related replication protein YjqB, UPF0714/DUF867 family"
"298","COG1273","L","ykoV","Non-homologous end joining protein Ku, dsDNA break repair"
"299","COG3949","S","ykvI","Uncharacterized membrane protein YkvI"
"300","COG1875","R","ylaK","Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains"
"301","COG3879","S","ylxW","Uncharacterized conserved protein YlxW, UPF0749 family"
"302","COG2368","Q","yoaI","Aromatic ring hydroxylase"
"303","COG2720","V","yoaR","Vancomycin resistance protein YoaR (function unknown), contains peptidoglycan-binding and VanW domains"
"304","COG1231","E","yobN","Monoamine oxidase"
"305","COG4479","S","yozE","Uncharacterized conserved protein YozE, UPF0346 family"
"306","COG1755","S","ypbQ","Uncharacterized conserved protein YpbQ, isoprenylcysteine carboxyl methyltransferase (ICMT) family"
"307","COG1023","G","yqeC","6-phosphogluconate dehydrogenase (decarboxylating)"
"308","COG3872","S","yqhQ","Uncharacterized conserved protein YqhQ, DUF1385 family"
"309","COG2268","S","yqiK","Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain"
"310","COG3881","S","yrrD","Uncharacterized conserved protein YrrD, contains PRC-barrel domain"
"311","COG2738","O","yugP","Zn-dependent membrane protease YugP"
"312","COG3377","S","yunC","Uncharacterized conserved protein YunC, DUF1805 family"
"313","COG0599","R","yurZ","Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family"
"314","COG2155","S","yuzA","Uncharacterized membrane protein YuzA, DUF378 family"
"315","COG5522","S","ywaF","Uncharacterized membrane protein YwaF"
"316","COG2849","V","ywqK","Antitoxin component YwqK of the YwqJK toxin-antitoxin module"
"317","COG1331","R","yyaL","Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains"
"318","COG3863","S","yycO","Uncharacterized conserved protein YycO, NlpC/P60 family"
